,subject,related subjects
0,H223,[]
1,H224,[]
2,H225,[]
3,H226,[]
4,H227,[]
5,H228,[]
6,H229,[]
7,H230,[]
8,H231,[]
9,H232,['H233']
10,H233,['H232']
11,H234,[]
12,H235,['H236']
13,H236,['H235']
14,H237,[]
15,H238,[]
16,H239,"['H240', 'H241', 'H263', 'H264', 'H265']"
17,H240,"['H239', 'H241', 'H263', 'H264', 'H265']"
18,H241,"['H239', 'H240', 'H263', 'H264', 'H265']"
19,H242,[]
20,H243,[]
21,H244,[]
22,H245,[]
23,H246,[]
24,H247,[]
25,H248,[]
26,H249,[]
27,H250,[]
28,H251,[]
29,H252,[]
30,H253,[]
31,H254,[]
32,H255,[]
33,H256,[]
34,H257,[]
35,H258,[]
36,H259,[]
37,H260,[]
38,H261,[]
39,H262,[]
40,H263,"['H239', 'H240', 'H241', 'H264', 'H265']"
41,H264,"['H239', 'H240', 'H241', 'H263', 'H265']"
42,H265,"['H239', 'H240', 'H241', 'H263', 'H264']"
43,H266,[]
44,H267,"['H268', 'H269']"
45,H268,"['H267', 'H269']"
46,H269,"['H267', 'H268']"
47,H270,[]
