,subject,related subjects
0,H223,"['H235', 'H247', 'H259']"
1,H224,"['H225', 'H236', 'H237', 'H248', 'H249', 'H260', 'H261']"
2,H225,"['H224', 'H236', 'H237', 'H248', 'H249', 'H260', 'H261']"
3,H226,"['H238', 'H250', 'H262']"
4,H227,"['H229', 'H239', 'H240', 'H241', 'H263', 'H264', 'H265']"
5,H228,"['H229', 'H252']"
6,H229,"['H227', 'H228', 'H239', 'H240', 'H241', 'H252', 'H263', 'H264', 'H265']"
7,H230,"['H234', 'H238', 'H242', 'H246', 'H250', 'H254', 'H258', 'H266', 'H270']"
8,H231,"['H233', 'H239', 'H243', 'H245', 'H255', 'H256', 'H257', 'H267', 'H268', 'H269']"
9,H232,[]
10,H233,"['H231', 'H245', 'H255', 'H256', 'H257', 'H267', 'H268', 'H269']"
11,H234,"['H230', 'H238', 'H242', 'H246', 'H250', 'H254', 'H258', 'H266', 'H270']"
12,H235,"['H223', 'H247', 'H259']"
13,H236,"['H224', 'H225', 'H237', 'H248', 'H249', 'H260', 'H261']"
14,H237,"['H224', 'H225', 'H236', 'H248', 'H249', 'H260', 'H261']"
15,H238,"['H226', 'H230', 'H234', 'H242', 'H246', 'H250', 'H254', 'H258', 'H262', 'H266', 'H270']"
16,H239,"['H227', 'H229', 'H231', 'H240', 'H241', 'H243', 'H255', 'H263', 'H264', 'H265']"
17,H240,"['H227', 'H229', 'H239', 'H241', 'H263', 'H264', 'H265']"
18,H241,"['H227', 'H229', 'H239', 'H240', 'H263', 'H264', 'H265']"
19,H242,"['H230', 'H234', 'H238', 'H246', 'H250', 'H254', 'H258', 'H266', 'H270']"
20,H243,"['H231', 'H239', 'H255']"
21,H244,[]
22,H245,"['H231', 'H233', 'H255', 'H256', 'H257', 'H267', 'H268', 'H269']"
23,H246,"['H230', 'H234', 'H238', 'H242', 'H250', 'H254', 'H258', 'H266', 'H270']"
24,H247,"['H223', 'H235', 'H259']"
25,H248,"['H224', 'H225', 'H236', 'H237', 'H249', 'H260', 'H261']"
26,H249,"['H224', 'H225', 'H236', 'H237', 'H248', 'H260', 'H261']"
27,H250,"['H226', 'H230', 'H234', 'H238', 'H242', 'H246', 'H254', 'H258', 'H262', 'H266', 'H270']"
28,H251,[]
29,H252,"['H228', 'H229']"
30,H253,[]
31,H254,"['H230', 'H234', 'H238', 'H242', 'H246', 'H250', 'H258', 'H266', 'H270']"
32,H255,"['H231', 'H233', 'H239', 'H243', 'H245', 'H256', 'H257', 'H267', 'H268', 'H269']"
33,H256,"['H231', 'H233', 'H245', 'H255', 'H257', 'H267', 'H268', 'H269']"
34,H257,"['H231', 'H233', 'H245', 'H255', 'H256', 'H267', 'H268', 'H269']"
35,H258,"['H230', 'H234', 'H238', 'H242', 'H246', 'H250', 'H254', 'H266', 'H270']"
36,H259,"['H223', 'H235', 'H247']"
37,H260,"['H224', 'H225', 'H236', 'H237', 'H248', 'H249', 'H261']"
38,H261,"['H224', 'H225', 'H236', 'H237', 'H248', 'H249', 'H260']"
39,H262,"['H226', 'H238', 'H250']"
40,H263,"['H227', 'H229', 'H239', 'H240', 'H241', 'H264', 'H265']"
41,H264,"['H227', 'H229', 'H239', 'H240', 'H241', 'H263', 'H265']"
42,H265,"['H227', 'H229', 'H239', 'H240', 'H241', 'H263', 'H264']"
43,H266,"['H230', 'H234', 'H238', 'H242', 'H246', 'H250', 'H254', 'H258', 'H270']"
44,H267,"['H231', 'H233', 'H245', 'H255', 'H256', 'H257', 'H268', 'H269']"
45,H268,"['H231', 'H233', 'H245', 'H255', 'H256', 'H257', 'H267', 'H269']"
46,H269,"['H231', 'H233', 'H245', 'H255', 'H256', 'H257', 'H267', 'H268']"
47,H270,"['H230', 'H234', 'H238', 'H242', 'H246', 'H250', 'H254', 'H258', 'H266']"
